npc_subtype_final,UMAP_1,UMAP_2,n_cells
ECM/Adh-NPCs,2.6569978419921254,0.12301934738557763,1795
Hom-NPCs,-2.249641614756837,0.5951055981675906,1585
Eff-NPCs,-1.457277375064149,-1.5238421462019163,484
Ht-NPCs,-0.2860143955567026,1.645440111354999,66
Fibro-NPCs,3.152188700833068,-4.504160573287793,1333
Fibro-reg NPCs,0.4754981819770193,-3.330121447845288,770
Hom/Reg-like NPCs,-1.825779664120927,3.26225979109209,2212
