npc_subtype_final,n_mild,n_severe,mean_mild,mean_severe,delta_severe_minus_mild,p_value,p_adj
ECM/Adh-NPCs,1258,537,0.5995434156289501,0.604977053663828,0.005433638034877952,0.8906815010685707,0.9322469796025006
Hom-NPCs,1223,362,0.30377039736137457,0.3267465418064797,0.02297614444510515,0.023604567848976073,0.05507732498094418
Eff-NPCs,380,104,0.5290214658231804,0.5310844622100647,0.0020629963868842305,0.22954970520392204,0.3213695872854908
Ht-NPCs,38,28,0.3929772729634955,0.3951032188950418,0.0021259459315463025,0.13739762678073114,0.2404458468662795
Fibro-NPCs,629,704,0.8568295933978013,0.860329939054598,0.0035003456567966884,0.9322469796025006,0.9322469796025006
Fibro-reg NPCs,396,374,0.665960673623475,0.7114303618411735,0.04546968821769848,3.98766781787652e-14,2.7913674725135637e-13
Hom/Reg-like NPCs,1885,327,0.25523349003034873,0.27979452692695966,0.024561036896610933,1.963501509904734e-5,6.872255284666569e-5
