lineage,clusters
Lineage1,Hom/Reg-like NPCs -> Ht-NPCs -> Hom-NPCs -> Eff-NPCs -> Fibro-reg NPCs -> Fibro-NPCs
Lineage2,Hom/Reg-like NPCs -> Ht-NPCs -> ECM/Adh-NPCs
