gene,mean_young,mean_aged,delta_aged_minus_young,p_value
COL1A1,5.425000000000001,7.952,2.5269999999999992,0.24527811680677283
SPARC,10.41,12.58,2.17,0.24527811680677283
GPX4,10.255,12.01,1.754999999999999,0.24527811680677283
COL3A1,9.7275,11.36,1.6325000000000003,0.24527811680677283
GPX3,11.46,12.569999999999999,1.1099999999999977,0.24527811680677283
SLC7A11,9.841666666666669,8.848333333333333,-0.9933333333333358,0.24527811680677283
FTL,13.045,13.875,0.8300000000000001,0.24527811680677283
ACAN,11.747499999999999,11.215,-0.5324999999999989,0.24527811680677283
