gene,available_in_GSE70362
COL1A1,TRUE
COL1A2,TRUE
COL3A1,TRUE
COL6A2,TRUE
COMP,TRUE
BGN,TRUE
SPARC,TRUE
LRP1,TRUE
FN1,TRUE
POSTN,TRUE
GPX3,TRUE
CLU,TRUE
SLC39A14,TRUE
GPX4,TRUE
SLC7A11,TRUE
FTH1,TRUE
FTL,TRUE
HMOX1,TRUE
ACSL4,FALSE
ACAN,TRUE
COL2A1,TRUE
MMP3,TRUE
MMP13,TRUE
ADAMTS5,TRUE
