gene,available_in_GSE147383
ACAN,TRUE
COL2A1,TRUE
COL6A2,TRUE
BGN,TRUE
GPX4,TRUE
SLC39A14,TRUE
FTH1,TRUE
FTL,TRUE
COL1A1,TRUE
COL1A2,TRUE
COL3A1,TRUE
POSTN,TRUE
ADAMTS5,TRUE
MMP13,TRUE
GPX3,TRUE
CLU,TRUE
COMP,TRUE
SPARC,TRUE
LRP1,TRUE
FN1,TRUE
SLC7A11,TRUE
HMOX1,TRUE
ACSL4,TRUE
