gene,geo_accession,expression,title,tissue,degeneration_group
GPX3,GSM4429808,12.04,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
GPX3,GSM4429810,10.88,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
GPX3,GSM4429812,12.774999999999999,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
GPX3,GSM4429814,12.364999999999998,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
CLU,GSM4429808,13.476666666666667,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
CLU,GSM4429810,13.58,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
CLU,GSM4429812,14.386666666666665,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
CLU,GSM4429814,14.583333333333334,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
COMP,GSM4429808,14.46,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
COMP,GSM4429810,14.26,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
COMP,GSM4429812,14.64,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
COMP,GSM4429814,14.72,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
SPARC,GSM4429808,9.46,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
SPARC,GSM4429810,11.36,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
SPARC,GSM4429812,12.045,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
SPARC,GSM4429814,13.115,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
LRP1,GSM4429808,4.275,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
LRP1,GSM4429810,4.37,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
LRP1,GSM4429812,4.4350000000000005,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
LRP1,GSM4429814,4.215,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
FN1,GSM4429808,11.707142857142856,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
FN1,GSM4429810,11.387142857142859,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
FN1,GSM4429812,11.870000000000001,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
FN1,GSM4429814,12.248571428571427,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
SLC7A11,GSM4429808,10.200000000000001,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
SLC7A11,GSM4429810,9.483333333333334,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
SLC7A11,GSM4429812,8.4,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
SLC7A11,GSM4429814,9.296666666666667,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
HMOX1,GSM4429808,14.04,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
HMOX1,GSM4429810,13.94,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
HMOX1,GSM4429812,14.14,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
HMOX1,GSM4429814,13.53,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
ACSL4,GSM4429808,5.03,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
ACSL4,GSM4429810,6.58,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
ACSL4,GSM4429812,6.09,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
ACSL4,GSM4429814,6.15,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
