subtype,outgoing_weight_mild,outgoing_weight_severe,incoming_weight_mild,incoming_weight_severe,outgoing_count_mild,outgoing_count_severe,incoming_count_mild,incoming_count_severe,outgoing_weight_delta,incoming_weight_delta,outgoing_count_delta,incoming_count_delta
ECM/Adh-NPCs,0.048306594564319356,0.03025133298504993,1.5594140560734173e-4,3.837038250354382e-4,65,52,16,11,-0.018055261579269427,2.2776241942809645e-4,-13,-5
Hom-NPCs,0.024817153661708283,0.01192535776251917,0.028137301385952614,0.032701535438503106,62,27,63,56,-0.012891795899189113,0.004564234052550492,-35,-7
Eff-NPCs,0.006914490182123914,0.0029453501873869413,0.029917879559074125,0.013323959139243842,96,38,135,79,-0.0039691399947369725,-0.016593920419830283,-58,-56
Ht-NPCs,7.096718337068861e-4,0.001945971028917559,2.6751514604217164e-4,0.0010199028499031611,79,86,50,41,0.0012362991952106729,7.523877038609894e-4,7,-9
Fibro-NPCs,0.047060937291274516,0.08406136891546344,0.018681842884973158,0.01551899086579129,113,79,51,19,0.03700043162418892,-0.0031628520191818686,-34,-32
Fibro-reg NPCs,0.028700266445057885,0.047370362530021595,0.03928051355529216,0.07687850733517865,208,173,290,191,0.01867009608496371,0.037597993779886485,-35,-99
Hom/Reg-like NPCs,0.059767537636542176,0.022637231347052658,0.09983565767779144,0.06131037530275581,131,94,149,152,-0.03713030628948952,-0.038525282375035635,-37,3
