npc_subtype_final,comparison,gene,direction,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Eff-NPCs,severe_vs_mild,ZCCHC10,down_in_severe,0.3059419337018511,-0.5829605317515183,0.077,0.113,1
Eff-NPCs,severe_vs_mild,USP7,down_in_severe,0.30628466683702393,-0.758765896855293,0.096,0.134,1
Eff-NPCs,severe_vs_mild,PSAT1,down_in_severe,0.3069227417710191,-1.0382923370412256,0.067,0.103,1
Eff-NPCs,severe_vs_mild,SRF,up_in_severe,0.30711510487666327,0.04196850621351211,0.154,0.203,1
Eff-NPCs,severe_vs_mild,RPL9,up_in_severe,0.3086029152268404,0.968390264154304,0.279,0.253,1
Eff-NPCs,severe_vs_mild,IMPAD1,up_in_severe,0.3086258171138261,0.8614249334341131,0.221,0.187,1
Eff-NPCs,severe_vs_mild,PLAGL1,up_in_severe,0.3087702440853694,0.5281513454286701,0.115,0.163,1
Eff-NPCs,severe_vs_mild,COL6A1,up_in_severe,0.3095401324273615,0.3954219596198202,0.154,0.118,1
Eff-NPCs,severe_vs_mild,SOX5,up_in_severe,0.3098034183924829,0.07008809781355363,0.087,0.129,1
Eff-NPCs,severe_vs_mild,MAP2K1,down_in_severe,0.30987709463657453,-0.13558302433020575,0.067,0.103,1
Eff-NPCs,severe_vs_mild,DDX5,up_in_severe,0.3101437242622024,0.3125328476893614,0.779,0.855,1
Eff-NPCs,severe_vs_mild,SLFN11,down_in_severe,0.310664682255925,-0.2395097557277326,0.067,0.1,1
Eff-NPCs,severe_vs_mild,HNRNPH1,up_in_severe,0.3109821311614535,0.2796957238288047,0.365,0.508,1
Eff-NPCs,severe_vs_mild,ING3,down_in_severe,0.31216621535417854,-0.5817428108521753,0.067,0.1,1
Eff-NPCs,severe_vs_mild,NFKBIA,up_in_severe,0.31293695799865723,0.2874474098215902,0.731,0.787,1
Eff-NPCs,severe_vs_mild,PRSS23,up_in_severe,0.31499748967368185,0.32277458962992034,0.173,0.237,1
Eff-NPCs,severe_vs_mild,RPS27L,up_in_severe,0.3154149956311705,0.5672331600022643,0.26,0.224,1
Eff-NPCs,severe_vs_mild,GPC6,up_in_severe,0.3155620719904818,0.4561320207393166,0.067,0.1,1
Eff-NPCs,severe_vs_mild,RAPGEF2,up_in_severe,0.31576864515705083,0.8702346540369028,0.077,0.116,1
Eff-NPCs,severe_vs_mild,CYTOR,up_in_severe,0.31676432383165076,0.6056843352895815,0.135,0.184,1
Eff-NPCs,severe_vs_mild,MLEC,down_in_severe,0.31783943988630475,-0.07138635420081096,0.067,0.1,1
Eff-NPCs,severe_vs_mild,MAP4,up_in_severe,0.31787949616439237,0.6662453947605294,0.096,0.137,1
Eff-NPCs,severe_vs_mild,SAT1,up_in_severe,0.3179276299906039,0.520885742160079,0.606,0.645,1
Eff-NPCs,severe_vs_mild,RRM1,up_in_severe,0.3189822033317443,0.08809862620192288,0.067,0.1,1
Eff-NPCs,severe_vs_mild,VCP,up_in_severe,0.32004952473098147,0.2743500486069456,0.087,0.124,1
Eff-NPCs,severe_vs_mild,FAM3C,up_in_severe,0.3213923658390704,0.48526469757310414,0.087,0.126,1
Eff-NPCs,severe_vs_mild,PICALM,down_in_severe,0.32251743625172424,-0.039192386719237665,0.154,0.2,1
Eff-NPCs,severe_vs_mild,WBP11,up_in_severe,0.3226072108276247,0.6941233437966503,0.231,0.195,1
Eff-NPCs,severe_vs_mild,RGCC,up_in_severe,0.32293772125148246,0.47261048263346606,0.798,0.847,1
Eff-NPCs,severe_vs_mild,PITHD1,up_in_severe,0.32531540553323685,0.7261173736650584,0.173,0.142,1
Eff-NPCs,severe_vs_mild,BCAP29,down_in_severe,0.3256422082733109,-0.8439749025898485,0.087,0.118,1
Eff-NPCs,severe_vs_mild,SUSD5,down_in_severe,0.32613659052559213,-0.8914514811536429,0.077,0.111,1
Eff-NPCs,severe_vs_mild,PAPOLA,down_in_severe,0.3262921862688013,-0.014102467000613794,0.25,0.321,1
Eff-NPCs,severe_vs_mild,REXO2,down_in_severe,0.32667214415219403,-0.030065390856992613,0.192,0.245,1
Eff-NPCs,severe_vs_mild,PTPN12,up_in_severe,0.32873761282674163,0.6832344051317365,0.106,0.142,1
Eff-NPCs,severe_vs_mild,CREB3L2,down_in_severe,0.3288287817563502,-0.027599567759339583,0.077,0.108,1
Eff-NPCs,severe_vs_mild,XPOT,down_in_severe,0.32907245941155555,-0.33779975184191724,0.115,0.153,1
Eff-NPCs,severe_vs_mild,TIAL1,down_in_severe,0.3291075685503723,-0.5235764920706327,0.106,0.147,1
Eff-NPCs,severe_vs_mild,PSMB7,up_in_severe,0.3294216513010907,0.14691696360887707,0.115,0.155,1
Eff-NPCs,severe_vs_mild,EWSR1,up_in_severe,0.3297897355115337,0.9456903070833726,0.202,0.174,1
Eff-NPCs,severe_vs_mild,ANKRD12,up_in_severe,0.33082425019343414,0.40114046086849775,0.125,0.168,1
Eff-NPCs,severe_vs_mild,MYO10,down_in_severe,0.33120664830604607,-0.11927385990444739,0.279,0.347,1
Eff-NPCs,severe_vs_mild,AMPD3,up_in_severe,0.3336890093740504,0.06346214486974122,0.067,0.1,1
Eff-NPCs,severe_vs_mild,KLF10,up_in_severe,0.33452382755621995,0.20860030158407428,0.327,0.418,1
Eff-NPCs,severe_vs_mild,LDLRAD3,up_in_severe,0.3348253971957434,0.6591872188309211,0.087,0.124,1
Eff-NPCs,severe_vs_mild,UTP6,down_in_severe,0.3355328979984084,-1.3707615114276621,0.096,0.126,1
Eff-NPCs,severe_vs_mild,POLR2G,up_in_severe,0.33634488681112445,0.7387209185934795,0.077,0.113,1
Eff-NPCs,severe_vs_mild,CMAS,up_in_severe,0.33763079557592984,0.3184205973874118,0.067,0.1,1
Eff-NPCs,severe_vs_mild,EIF4E2,down_in_severe,0.337818887551369,-0.0032107158705265704,0.087,0.121,1
Eff-NPCs,severe_vs_mild,SKI,up_in_severe,0.3379498596163259,0.9418939993572025,0.212,0.182,1
Eff-NPCs,severe_vs_mild,ADNP,down_in_severe,0.33808406204275454,-0.5683946353448525,0.077,0.111,1
Eff-NPCs,severe_vs_mild,RNF13,down_in_severe,0.33886832151905183,-0.355870834347511,0.183,0.226,1
Eff-NPCs,severe_vs_mild,LAMTOR1,up_in_severe,0.340010169388311,0.13221602813887,0.067,0.1,1
Eff-NPCs,severe_vs_mild,LSM14A,down_in_severe,0.3401492071101101,-0.20277026577444324,0.183,0.224,1
Eff-NPCs,severe_vs_mild,LPP,up_in_severe,0.34025803135491467,0.3042312032824688,0.125,0.171,1
Eff-NPCs,severe_vs_mild,ZNF326,down_in_severe,0.3407218131796935,-0.22499541595406203,0.087,0.121,1
Eff-NPCs,severe_vs_mild,AMFR,up_in_severe,0.3418745788444351,0.19626400110393483,0.077,0.111,1
Eff-NPCs,severe_vs_mild,ATP5B,down_in_severe,0.3421693666024675,-0.27521685075558266,0.202,0.242,1
Eff-NPCs,severe_vs_mild,HIGD1A,up_in_severe,0.34300883407734595,0.6536461398540678,0.106,0.147,1
Eff-NPCs,severe_vs_mild,RAB2A,up_in_severe,0.34334694453482334,0.4257891436663297,0.346,0.458,1
Eff-NPCs,severe_vs_mild,TTC1,up_in_severe,0.3442809878582311,0.29556244634364204,0.106,0.145,1
Eff-NPCs,severe_vs_mild,PFKFB3,up_in_severe,0.34714402033931185,0.7972663202719468,0.183,0.153,1
Eff-NPCs,severe_vs_mild,ATG12,down_in_severe,0.34731162219377,-0.1307955343968824,0.087,0.121,1
Eff-NPCs,severe_vs_mild,C4BPA,up_in_severe,0.3474487132146392,0.7723331313089223,0.096,0.137,1
Eff-NPCs,severe_vs_mild,INTS6,up_in_severe,0.34780490998211566,0.5855314896778667,0.115,0.158,1
Eff-NPCs,severe_vs_mild,PDE4DIP,up_in_severe,0.3478346625733403,0.1171914064172734,0.087,0.124,1
Eff-NPCs,severe_vs_mild,CHCHD7,up_in_severe,0.3489065151489631,0.3703971055983664,0.154,0.2,1
Eff-NPCs,severe_vs_mild,CTBS,up_in_severe,0.3491853490676261,0.6876604050957151,0.077,0.113,1
Eff-NPCs,severe_vs_mild,VASN,up_in_severe,0.35174957209230234,1.685635192551898,0.135,0.108,1
Eff-NPCs,severe_vs_mild,ERH,up_in_severe,0.3519341788072003,0.39768196703550196,0.24,0.321,1
Eff-NPCs,severe_vs_mild,VPS26A,down_in_severe,0.35301152481032294,-0.8849117029804887,0.106,0.139,1
Eff-NPCs,severe_vs_mild,KPNA1,up_in_severe,0.35369563853654606,0.5512483978416383,0.067,0.1,1
