p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.5454099497588776,0.319,0.082,0,0,C9orf72
0,2.2386423708877876,0.347,0.111,0,0,IGSF6
0,1.5611649008448238,0.585,0.35,0,0,TAGLN2
0,2.1092114060914122,0.425,0.193,0,0,SPAG9
0,2.059365523183446,0.378,0.15,0,0,TNFAIP2
0,2.1006779085910807,0.397,0.17,0,0,JMJD1C
0,2.604140214927782,0.297,0.071,0,0,PMAIP1
0,1.6736233405381442,0.494,0.269,0,0,RILPL2
0,1.2630529797641121,0.608,0.385,0,0,GLUL
0,1.6540824550748061,0.586,0.364,0,0,CEBPB
0,2.04049559211434,0.351,0.13,0,0,RUBCNL
0,3.254712211512134,0.271,0.051,0,0,ITGAX
0,1.4601888302706512,0.464,0.246,0,0,LYN
0,1.3775601522391971,0.845,0.629,0,0,ITM2B
0,1.2354882419084037,0.887,0.671,0,0,MCL1
0,1.966670824124412,0.399,0.191,0,0,CSRNP1
0,1.568944516448168,0.544,0.34,0,0,ETF1
0,2.6653103242551213,0.277,0.075,0,0,CYB5D1
0,1.775602462015818,0.326,0.126,0,0,LRRK2
0,1.4076678403747707,0.324,0.124,0,0,MME
0,2.081624823028585,0.322,0.124,0,0,ICAM1
0,2.3274443447270428,0.274,0.078,0,0,LIMK2
0,1.2251047094321184,0.92,0.725,0,0,HLA-A
0,1.917709524360311,0.301,0.11,0,0,SLC11A1
0,1.4471882441591215,0.617,0.427,0,0,RAB7A
0,2.0320243816586867,0.289,0.102,0,0,CSF2RB
0,2.378036140312109,0.273,0.092,0,0,CPPED1
0,2.245284911411694,0.285,0.104,0,0,PROK2
0,1.4741023869014098,0.828,0.647,0,0,FTL
0,1.873188292687122,0.27,0.092,0,0,CMTM2
0,2.256836700118693,0.258,0.08,0,0,PTAFR
0,2.3777861717187303,0.257,0.079,0,0,XPO6
0,2.09547786021192,0.252,0.081,0,0,JAML
0,1.716190732762632,0.993,0.824,0,0,MALAT1
0,1.2318752149890635,0.719,0.551,0,0,ZFP36
0,2.1737379053967847,0.252,0.085,0,0,DOCK5
0,1.6003397180376178,0.997,0.867,0,0,B2M
0,1.3825087945745373,0.964,0.838,0,0,H3F3B
7.270523102280226e-303,1.8883810965819523,0.291,0.11,1.3360313252750145e-298,0,CXCR1
1.7412729250323514e-300,1.7793622307773114,0.355,0.161,3.199763127039449e-296,0,OXSR1
2.5727606904413013e-300,1.8064544142344363,0.345,0.154,4.727705044754935e-296,0,NUMB
8.238812284520148e-300,1.7911749649757027,0.348,0.155,1.5139641454034226e-295,0,EGR3
4.0092407127878716e-298,0.8837706872702586,0.736,0.551,7.367380733818993e-294,0,IER3
9.09694315208031e-295,1.2607995344398302,0.579,0.391,1.671654273626278e-290,0,TSC22D3
2.9918515387368574e-292,1.0680663958740513,0.644,0.46,5.497826387582849e-288,0,S100A11
5.659041514384908e-284,0.7927047148132984,0.626,0.356,1.0399054686833707e-279,0,AC245128.3
1.8611034624886942e-282,1.1516893543835467,0.632,0.474,3.4199637226692244e-278,0,YPEL5
1.3431712673867593e-281,1.224431067836118,0.461,0.247,2.468211520949909e-277,0,ACSL1
3.978657802908598e-276,2.1628922035139353,0.254,0.094,7.311181578624839e-272,0,CASP4
7.082152692276642e-276,1.7545613991189937,0.32,0.139,1.301416378732756e-271,0,TMEM154
1.468782600685964e-274,1.7065022055557564,0.317,0.136,2.6990349070205276e-270,0,KIAA1551
3.323139809646347e-273,1.8589828649570546,0.338,0.159,6.106601714206127e-269,0,SEC14L1
8.838221640245782e-271,1.8059670379108088,0.407,0.229,1.6241116086115648e-266,0,PPP1R15B
2.8092217676011015e-266,1.2772362214257251,0.51,0.316,5.162225920143784e-262,0,IRS2
8.420239510096071e-260,1.2720172940146646,0.463,0.261,1.547303212375254e-255,0,TYROBP
6.245988000746444e-252,1.577237271131111,0.388,0.202,1.1477627550171666e-247,0,ATP2B1
2.6085178107350097e-248,1.692855724542373,0.385,0.207,4.793412329006654e-244,0,ATP6V0D1
