score,ferrdb_category,ferrdb_genes_total_human_filtered,genes_found_in_expression_matrix,genes_used
FDS,ferroptosis driver,207,162,RPL8;IREB2;CS;EMC2;ACSF2;NOX1;CYBB;NOX4;NOX5;DUOX1;DUOX2;G6PD;PGD;VDAC2;TP53;ACSL4;LPCAT3;NRAS;KRAS;HRAS;KEAP1;HMOX1;ATG5;ATG7;NCOA4;TF;ALOX5;ALOX12;ALOX12B;ALOX15;ALOX15B;ALOXE3;PHKG2;SAT1;EGFR;MAPK3;MAPK1;ZEB1;DPP4;CDKN2A;PEBP1;SOCS1;CDO1;MYB;SLC1A5;CHAC1;LINC00472;GOT1;BECN1;PRKAA2;PRKAA1;ELAVL1;BAP1;ABCC1;ACVR1B;TGFBR1;IFNG;ANO6;HMGB1;TNFAIP3;ATF3;ATM;YY1AP1;EGLN2;MTDH;IDH1;FBXW7;PANX1;DNAJB6;LONP1;CD82;IL1B;POR;CYB5R1;ELOVL5;FADS1;PTEN;IL6;CTSB;ATF4;PEX10;AGPAT3;PEX12;CHP1;GPAT4;BRPF1;OSBPL9;INTS2;MMD;MLLT1;GRIA3;LIG3;AEBP2;AGPS;CDCA3;PEX2;PEX6;TIMM9;DCAF7;FAR1;PHF21A;SMAD7;LYRM1;PEX3;MTCH1;SIRT1;ACADSB;PVT1;GSK3B;MAPK8;BRD7;SLC25A28;SLC11A2;SLC38A1;TSC1;TGFB1;SNCA;SIRT3;TFRC;CGAS;HDDC3;MDM2;MDM4;DLD;WWTR1;PRKCA;SMPD1;MYCN;IFNA5;SMG9;TLR4;PAQR3;MICU1;TOR2A;QSOX1;KLF2;YTHDC2;DDR2;SLC39A7;TRIM46;ACSL1;KDM5A;CYGB;GSTZ1;ACO1;GJA1;SLC7A11;CIRBP;YAP1;TRIM26;NDRG1;FADS2;PIEZO1;LIFR;PTPN6;ADAM23;CPEB1;KDM6B;METTL14;MIB1;KDM5C;CCDC6
FSS,ferroptosis suppressor,202,166,SLC7A11;GPX4;AKR1C1;AKR1C2;AKR1C3;RB1;HSPB1;HSF1;NFE2L2;SQSTM1;NQO1;HMOX1;FTH1;MUC1;MT1G;SLC40A1;CISD1;HSPA5;ATF4;TP53;HELLS;SCD;FADS2;SRC;STAT3;PML;NFS1;TP63;CDKN1A;VDAC2;FH;CISD2;ISCU;ACSL3;OTUB1;CD44;BRD4;PRDX6;SESN2;NF2;ARNTL;HIF1A;JUN;CA9;TMBIM4;PLIN2;AIFM2;LAMP2;ZFP36;PROM2;CHMP5;CHMP6;CAV1;GCH1;SIRT3;PIR;GCLC;HCAR1;SLC16A1;RRM2;NR4A1;PIK3CA;RPTOR;SREBF1;SREBF2;FZD7;P4HB;BCAT2;PLA2G6;PARK7;FXN;SUV39H1;ATF2;STK11;FNDC5;CDH1;NEDD4L;TF;BRD2;BRD3;BRDT;DECR1;GLRX5;NCOA3;NR5A2;MTOR;PANX2;TFAP2A;CP;ARF6;GDF15;ABHD12;TFAM;KDM3B;RNF113A;AHCY;IDH2;PPARA;SIAH2;PRKAA2;NEDD4;PRDX1;AR;MTF1;COPZ1;NUPR1;USP35;NEAT1;PARP1;PARP2;PARP3;PARP4;PARP6;PARP8;PARP9;PARP10;PARP11;PARP12;PARP14;PARP15;PARP16;PDSS2;CREB1;CREB3;CREB5;GOT1;BEX1;FABP4;AKT1S1;MLST8;SIRT1;TYRO3;SIRT6;TMSB4X;TMSB4Y;KIF20A;ECH1;ETV4;MEG8;VCP;RBMS1;KDM4A;MGST1;MPC1;CAMKK2;SOX2;SRSF9;MEF2C;EZH2;CDC25A;G6PD;LCN2;TRIB2;DHODH;PDK4;IL6;PTPN18;FTL;ABCC5;CISD3;FURIN;GALNT14;KLHDC3;GSTM1;RARRES2;USP11
