pathway_name,n_pairs_mild,n_pairs_severe,total_prob_mild,total_prob_severe,mean_prob_mild,mean_prob_severe,total_prob_delta_severe_minus_mild,n_pairs_delta_severe_minus_mild
COLLAGEN,36,34,0.09156991779003835,0.09856197851692317,0.0025436088275010657,0.0028988817210859755,0.006992060726884811,-2
THBS,21,33,0.004809474664207725,0.009299428722596696,2.290226030575107e-4,2.8180087038171805e-4,0.004489954058388972,12
CD99,15,15,0.027549527139862837,0.03198624737660128,0.0018366351426575224,0.0021324164917734187,0.004436720236738443,0
TENASCIN,10,8,0.0023055684783345846,0.004904362200116538,2.3055684783345848e-4,6.130452750145672e-4,0.002598793721781953,-2
PERIOSTIN,10,5,5.958772385056504e-4,0.0019099476209656133,5.958772385056505e-5,3.8198952419312267e-4,0.0013140703824599629,-5
ANGPTL,18,9,3.7551588172916135e-4,7.660507475499765e-4,2.0861993429397852e-5,8.511674972777517e-5,3.905348658208151e-4,-9
GAP,4,8,2.854167431417394e-5,2.3422177565073115e-4,7.135418578543485e-6,2.9277721956341394e-5,2.0568010133655722e-4,4
BSP,5,5,4.153504803882903e-5,1.8225509554960293e-4,8.307009607765808e-6,3.645101910992059e-5,1.407200475107739e-4,0
VEGF,0,7,0,1.2754873132354182e-4,0,1.8221247331934546e-5,1.2754873132354182e-4,7
VISFATIN,5,8,1.4851113189914508e-4,2.490403009670771e-4,2.9702226379829014e-5,3.113003762088464e-5,1.0052916906793204e-4,3
IGFBP,10,8,1.0908529929956514e-5,9.576639535837472e-5,1.0908529929956514e-6,1.197079941979684e-5,8.485786542841821e-5,-2
RANKL,0,6,0,2.333880196757671e-5,0,3.889800327929451e-6,2.333880196757671e-5,6
PDGF,11,10,1.5709721385283646e-5,3.0433271191237837e-5,1.4281564895712405e-6,3.0433271191237837e-6,1.472354980595419e-5,-1
GRN,1,4,1.0943080289002647e-6,1.292201773596315e-5,1.0943080289002647e-6,3.2305044339907877e-6,1.1827709707062885e-5,3
CADM,0,1,0,6.374176262049146e-6,0,6.374176262049146e-6,6.374176262049146e-6,1
PTPRM,1,1,4.4376903133515626e-8,9.351052799550887e-7,4.4376903133515626e-8,9.351052799550887e-7,8.907283768215731e-7,0
MHC-II,0,1,0,7.447543532711603e-7,0,7.447543532711603e-7,7.447543532711603e-7,1
JAM,0,1,0,4.4885884217048226e-7,0,4.4885884217048226e-7,4.4885884217048226e-7,1
MPZ,0,4,0,2.3732808408953877e-7,0,5.9332021022384693e-8,2.3732808408953877e-7,4
PCDH,1,0,2.8650333520348757e-9,0,2.8650333520348757e-9,0,-2.8650333520348757e-9,-1
Netrin,2,0,2.231637731822592e-7,0,1.115818865911296e-7,0,-2.231637731822592e-7,-2
TGFb,4,3,6.089376384115037e-6,5.378799136040758e-6,1.5223440960287592e-6,1.7929330453469194e-6,-7.105772480742789e-7,-1
NEGR,1,0,7.617471518448045e-7,0,7.617471518448045e-7,0,-7.617471518448045e-7,-1
NOTCH,3,0,3.962494420009939e-6,0,1.3208314733366463e-6,0,-3.962494420009939e-6,-3
CD46,4,0,5.2731484960340695e-6,0,1.3182871240085174e-6,0,-5.2731484960340695e-6,-4
